otuids,1011.C.3001.01.P1,1011.C.3003.01.P1,1011.C.3006.01.P1,1011.C.3008.01.P1,1011.C.3009.01.P1,1011.C.3011.01.P1,1011.C.3016.01.P1,1011.C.3019.01.P1,1011.C.3026.01.P1,1011.C.3031.01.S1,1011.C.3034.01.S1,1011.C.3037.01.S1,1011.C.3039.01.S1,1011.C.3040.01.S1,1011.C.3041.01.S2,1011.C.3043.01.S1,1011.C.3044.01.S1,1011.C.3045.01.S2,1011.C.3046.01.S1,1011.C.3047.01.S1,1011.C.3051.01.S1,1011.C.3055.01.S1,1011.C.3056.01.S2,1011.C.3060.01.S1,1011.C.3064.01.S1,1011.C.3065.01.S1,1011.C.3066.01.S1,1011.C.3068.01.S1,1011.C.3072.01.S2,1011.C.3074.01.S1,1011.C.3075.01.S1,1011.C.3076.01.S1,1011.C.3081.01.S3,1011.C.3086.01.S1,1011.C.4005.01.P1,1011.C.4007.01.P1,1011.C.4011.01.P1,1011.C.4014.01.P1,1011.C.4024.01.S3,1011.C.4027.01.S2,1011.C.4030.01.S1,1011.C.3049.01.S1,1011.C.3010.01.P1,1011.C.4009.01.P1,1011.C.3004.01.P1,1011.C.3017.01.P1,1011.C.3038.01.S2,1011.C.3042.01.S1,1011.C.3048.01.S1,1011.C.3050.01.S2,1011.C.3053.01.S1,1011.C.3057.01.S2,1011.C.4000.01.P1,1011.C.4010.01.P1,1011.C.4019.01.P1,1011.C.4022.01.S1,1011.C.3033.01.S1,1011.C.3078.01.S1,1011.C.4023.01.S1,1011.C.3052.01.S1,1011.C.3080.01.S2,1011.C.3007.01.P1,1011.C.3013.01.P1,1011.C.3014.01.P1,1011.C.3015.01.P1,1011.C.3020.01.P1,1011.C.3084.01.S1,1011.C.4006.01.P1,1011.C.4020.01.P1,1011.C.3029.01.S1,1011.C.4002.01.P1,1011.C.3030.01.S3,1011.C.3063.01.S1,1011.C.3067.01.S1,1011.C.4021.01.S3,1011.C.3079.01.S3,1011.C.3082.01.S2,1011.C.3070.01.S1,1011.C.3083.01.S2,1011.C.4026.01.S1,1011.C.3085.01.S2,1011.C.4013.01.P1,1011.C.3027.01.P1,1011.C.3022.01.P1,1011.C.3023.01.P1,1011.C.3028.01.S1,1011.C.4028.01.S1,1011.C.4029.01.S1,1011.C.3059.01.S3,1011.C.3071.01.S3,1011.C.4018.01.P1,1011.C.3077.01.S1,1011.C.4025.01.S1,1011.C.4001.01.P1,1011.C.4004.01.P1,1011.C.3069.01.S1,1011.C.3018.01.P1,1011.C.3025.01.P1,1011.C.3032.01.S2,1011.C.3062.01.S1
2,249,8,18,295,206,70,101,74,89,66,104,283,748,33,615,101,760,725,142,266,3,23,258,3136,61,265,853,376,95,262,1489,156,16,337,158,94,859,17,410,0,297,65,858,133,605,50,96,10,204,1184,148,1662,59,1072,16,522,368,389,808,53,10,1276,0,135,389,186,606,80,797,699,733,325,868,32,281,592,1522,79,0,218,13,0,9,207,389,6,270,22,527,41,0,852,0,38,11,603,9,191,42,52
18,4,0,9,1,3,1,5,15,0,1,13,10,4,0,24,8,2,5,51,4,22,3,20,621,5,6,36,8,22,4,0,2,5,2,4,64,3,3,15,1,6,1,13,2,39,7,3,0,5,5,2,8,1,3,1,15,1,30,1,3,0,3,0,4,9,3,42,1,14,6,28,69,10,4,50,26,67,3,0,2,0,53,3,15,24,1,8,0,32,4,0,11,0,0,0,17,1,0,65,7
20,167,0,0,2,0,0,117,0,0,0,37,621,0,0,68,18,327,207,0,0,252,0,0,0,0,0,165,0,0,391,5,0,0,0,1,0,0,3,256,0,19,0,0,0,5,99,2,0,0,173,0,2,4,56,1,10,65,0,0,0,0,149,0,14,0,0,613,0,32,38,89,27,10,0,11,0,488,0,0,0,0,0,0,73,0,0,46,0,74,4,2,0,0,0,853,83,0,7,187,3
32,1,2,44,3,7,111,3,0,0,44,6,27,2,23,5,0,3,1,2,13,1,0,0,1,157,8,172,112,0,7,11,8,85,95,0,3,0,12,8,0,1,15,3,3,1,1,0,18,19,115,181,56,163,21,0,0,91,140,93,0,2,44,12,18,0,1,0,4,1,0,3,0,1,0,35,3,1,0,0,12,4,0,0,97,7,1,19,2,33,3,0,8,0,1,0,0,0,0,95,0
51,203,63,411,29,167,358,174,206,38,58,396,188,47,274,119,747,82,1489,289,258,332,103,270,446,305,56,346,298,383,390,559,94,454,438,27,59,11,87,192,15,56,38,140,19,109,111,29,483,105,732,403,0,175,37,3,9,163,474,397,249,1082,163,333,118,371,34,19,77,25,71,136,237,33,454,0,393,323,946,80,428,131,1,1,56,168,95,179,90,352,5,8,548,0,30,132,132,37,12,2,0
57,0,4,0,2,17,27,0,23,0,38,0,0,0,3,259,16,0,1,29,0,1,1216,0,0,0,414,162,0,8,0,0,28,26,1293,0,0,33,0,72,0,0,0,0,0,0,7,401,0,0,0,2077,87,24,41,0,0,0,0,5,0,0,0,0,0,0,163,0,93,0,0,43,0,0,1139,0,69,0,0,0,0,0,0,50,0,106,0,33,6,1,0,0,0,0,253,0,702,0,0,133,0
73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
135,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,5,1,0,12,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,17,0,0,2,0,8,0,9,1,11,0,0,0,0,0,2,53,0,0,0,0,1,12,0,29,1,4,1,76,0,4,4,0,0,0,0,0,6,44,0,0,6,0,0,0,0,0,0,0,0
294,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,2,26,0,45,2,2,0,72,0,55,0,18,0,0,0,0,202,0,3,3,374,0,45,1,105,0,18,0,23,146,66,48,0,0,6,0,184,12,0,42,66,16,58,316,87,0,0,15,0,2,0,0,0,0,0,164,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,83,0,0,168,80,0,0,119,65,12,0,0,37,5,0,0,0,109,170,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,2,2,0,9,0,3,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,11,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,3,0,0,0
411,117,1,1,0,1,2,3,1,0,0,16,5,0,0,0,1,0,2,2,1,9,0,7,18,1,1,6,1,4,1,0,0,1,0,1,6,41,1,5,1,0,0,2,0,1,1,1,1,0,0,41,0,0,3,1,3,0,0,1,0,0,0,0,0,1,0,7,0,3,3,10,36,3,0,3,3,1,2,3,0,0,0,0,7,0,0,2,0,7,0,0,0,0,0,2,0,0,1,1,3
501,2,0,1,1,1,0,1,0,0,1,16,0,0,11,0,9,10,1,0,3,0,4,0,1,4,0,13,1,0,0,2,3,1,1,0,0,3,0,1,0,0,1,0,1,4,0,0,0,0,0,1,0,4,0,0,0,0,4,0,2,1,4,9,0,0,0,0,2,0,0,3,3,0,0,1,9,0,0,3,1,0,0,0,2,0,0,5,1,0,1,0,0,0,3,0,0,5,0,0,0
567,6,2,4,1,7,1,14,2,1,2,22,14,3,360,1,2,2,16,10,4,16,0,2,5,6,0,2,17,7,9,3,1,5,3,0,1,0,2,2,0,5,1,0,2,1,6,4,5,1,5,8,9,1,1,0,0,10,7,5,6,0,1,6,7,0,3,5,2,31,3,6,6,7,10,18,10,1,0,0,9,16,0,0,1,14,2,0,4,8,3,0,2,0,6,26,5,9,3,1,2
679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
